ROW_NAMES,Halo_ARID4A_REPLICATE_dS_AVG,Halo_ARID4B_REPLICATE_dS_AVG,Halo_BRMS1_REPLICATE_dS_AVG,Halo_BRMS1L_REPLICATE_dS_AVG,Halo_GATAD1_REPLICATE_dS_AVG,HDAC1.Halo_REPLICATE_dS_AVG,HDAC2_Halo_REPLICATE_dS_AVG,Halo_ING1_REPLICATE_dS_AVG,Halo_ING2_REPLICATE_dS_AVG,MORF4L1_Halo_REPLICATE_dS_AVG,Halo_PHF12_REPLICATE_dS_AVG,Halo_RBBP4_REPLICATE_dS_AVG,Halo_SAP30_REPLICATE_dS_AVG,Halo_SAP30L_REPLICATE_dS_AVG,Halo_SAP130_REPLICATE_dS_AVG,SIN3A_Halo_REPLICATE_dS_AVG,SIN3B_2_Halo_REPLICATE_dS_AVG,Halo_SUDS3_REPLICATE_dS_AVG,complex
RCOR2,0,0,0,0,0,69.43271,48.01904,0,0,0,0,0,0,0,0,0,0,0,0
PHF21A,0,0,0,0,0,73.40631,65.88661,0,0,0,0,0,0,0,0,0,0,0,0
RCOR3,-0.3919227,0,0,0,0,66.001,42.25477,0,0,0,0,0,0,0,0,0,0,0,0
ARID5B,0,0,0,0,0,95.81339,70.13124,0,0,0,0,0,0,0,0,0,0,0,0
RREB1,0,0,0,0,0,104.7568,72.8225,0,0,0,0,0,0,0,0,0,0,0,0
MGA,0,0,0,0,0,70.17488,83.80261,0,-0.3646131,0,0,0,0,0,0,0,0,0,0
EPPK1,19.2511,-0.9945705,0,0,0,0,0,0,-0.4521214,0,-0.4217299,-0.9005396,0,0,72.28043,-0.9087835,0,7.10155,0
HSPA1A,143.3203,52.70627,-30.07186,-50.70483,-45.59339,-470.6467,-287.754,-114.8894,327.2484,-86.50362,-10.06614,17.2503,-26.84649,-139.1038,5558.398,-188.1047,-297.649,50.04667,0
HSPA9,-10.74431,-28.90723,-13.66823,8.067707,-2.667991,-126.0734,-83.76153,-30.44513,14.07563,-36.36586,18.9663,-24.27827,-26.59659,-72.41119,2435.34,-52.17014,-57.77438,-15.753,0
TUBB4B,-3.993022,-5.944246,3.895274,-3.717824,-2.710107,-18.50073,-14.65626,-0.4898194,-1.94469,-3.030278,-2.881237,-5.763087,9.840797,167.5549,45.51333,-8.419106,-12.36086,-3.809856,0
TUBA4A,-4.531058,-4.359451,6.50756,-3.952737,4.831451,-18.31829,11.26521,-2.985886,-2.750944,1.210986,25.00974,0.2033387,-0.2523594,-5.875979,70.98452,1.381426,-11.42964,-3.952007,0
ATP5A1,-2.639383,-4.133381,5.073339,-3.065522,0.4735441,0.8344588,-9.523197,1.277454,-2.82231,-4.020438,-1.185025,-3.187299,20.7294,21.61293,23.70516,-5.433036,13.88605,-2.798177,0
LGALS3BP,1.689524,10.93612,-0.860097,-1.47029,9.181847,-9.722844,-5.904931,17.85948,15.21892,-2.753783,-0.8167425,14.84095,2.523777,2.024436,0.444722,-0.5472162,-3.596454,13.20317,0
HNRNPM,38.94093,-0.9179866,9.893077,25.47838,-1.382787,-10.55545,-8.319515,18.81705,14.26164,-3.113875,-1.336472,-2.011457,2.422994,0.3328969,3.295331,-4.025177,-4.485836,-0.8264617,0
TUBA8,-1.605824,-1.843028,-1.233387,-1.44709,3.470781,-6.82998,-5.204154,-0.00537775,-1.530613,2.834767,8.598587,3.554913,-0.8974391,-3.773402,55.59392,6.261124,-4.289107,-1.311962,0
