Gene Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue
ZBBX,24.13609518,1.387049795,0.405753079,3.41845784,6.30E-04
AL445224.1,5.064433448,-1.632972281,0.480337342,-3.399636337,6.75E-04
AC106892.1,12.03762574,-1.106755826,0.327961178,-3.37465499,7.39E-04
PDE1A,39.51319764,1.198617111,0.356362366,3.363478369,7.70E-04
DNM3,116.580139,0.762977787,0.227958153,3.347008119,8.17E-04
NEPRO,501.8168218,0.31499267,0.094284386,3.340878418,8.35E-04
HDAC2-AS2,113.0276626,0.67663431,0.203474042,3.325408499,8.83E-04
AC090971.4,22.38020173,0.68523779,0.207067255,3.309252307,9.35E-04
ZMIZ2,3.23414826,-2.091982617,0.632628861,-3.306808693,9.44E-04
AC021755.1,1.818666284,3.083682374,0.933337583,3.303930358,9.53E-04
AC104071.1,4.068343286,1.532345176,0.464115257,3.301647927,9.61E-04
PCA3,175.9629353,0.989113414,0.299805608,3.299182496,9.70E-04
LRRC38,12.90025525,0.80839132,0.246040075,3.285608322,0.001017624
AC008957.1,16.76893992,0.877363895,0.268234322,3.270886022,0.001072111
FAM199X,4.759046466,2.02574084,0.619394942,3.270515629,0.001073516
LINC00303,3.628109253,2.226187677,0.681164903,3.268206667,0.001082313
AC105411.1,22.17308133,0.733226808,0.224491013,3.266174433,0.001090111
KBTBD12,23.42662013,0.75730041,0.232536935,3.256688709,0.0011272
LINC02371,45.66631905,0.508881035,0.156581212,3.249949518,0.001154255
AC079089.3,24.87751774,0.986398198,0.303625874,3.248729054,0.001159218
AC104664.1,3.488400367,2.951148412,0.914365243,3.227537829,0.001248605
AC108105.1,2.461712539,1.865269032,0.579204626,3.220397332,0.00128013
RPL22,14.83336327,-0.631559503,0.196368081,-3.216202444,0.001298992
ZC3H4,9.939587075,-1.715436737,0.534691827,-3.208271853,0.001335352
NR1H3,5.523026842,-1.105711199,0.345159205,-3.203481706,0.001357767
AC009275.1,6.961505786,2.266294446,0.707903529,3.201417077,0.001367534
LINC01676,10.18832357,-1.74310604,0.546571493,-3.189163834,0.00142685
METTL25,111.7742455,2.479407991,0.778439405,3.185100827,0.001447036
AC026341.2,17.01046438,0.719365892,0.225964533,3.183534529,0.001454888
SYT15,25.58630833,-1.013064631,0.318230915,-3.18342619,0.001455432
AC007881.4,92.56945321,0.530460447,0.167520829,3.166534265,0.001542672
ZFY,2.620994536,3.637588487,1.149032497,3.165783819,0.001546657
SYNPO2L,32.10665742,1.014820036,0.320689731,3.16449184,0.00155354
AL162582.1,1.652966345,-2.948765769,0.93288383,-3.160914227,0.001572748
LINC00900,16.53998503,0.861034944,0.272562948,3.159031522,0.001582944
CR383656.13,5.905392478,1.334729193,0.422711197,3.157543974,0.001591042
CACNA1C-AS4,15.59247389,0.769035123,0.243788138,3.154522318,0.001607611
MTHFR,180.0694873,-0.690716205,0.219068297,-3.152971984,0.001616173
STX7,43.55923699,-0.912601108,0.289485368,-3.152494766,0.001618817
NUP54,147.0214506,-0.8222807,0.261333203,-3.146483838,0.001652464
AC026436.1,27.58209899,1.007978561,0.320905264,3.141047135,0.001683449
GLMP,7.041489498,1.153792106,0.367616541,3.138575057,0.001697715
LINC01445,190.4998089,0.265247669,0.084576838,3.136173852,0.001711677
ANKRD16,9.326758969,-0.816879024,0.260656932,-3.133924035,0.001724855
ARPP21-AS1,201.1604407,-0.84008462,0.268248755,-3.131737253,0.001737753
ZKSCAN4,60.0505952,0.497855198,0.159813418,3.115227768,0.001838029
PRR27,6.836867593,1.14589645,0.367863262,3.115006492,0.001839409
PLB1,57.38973279,-1.374983797,0.444634144,-3.092393638,0.001985494
PDIK1L,3.572569418,-2.170811539,0.704351558,-3.082000051,0.002056148
AL441883.1,28.56452678,0.778387903,0.252920565,3.077598304,0.00208676
HOXB3,31.15244586,0.857529716,0.278646403,3.077483527,0.002087564
OR7E13P,12.89077006,0.987268411,0.321029826,3.075316782,0.002102791
GPR179,14.72199399,-1.357577055,0.442565329,-3.06751787,0.002158446
APOBEC3B-AS1,12.74292404,0.837990513,0.273192913,3.067394773,0.002159335
ATP5MG,2.667780255,-1.715065511,0.559507856,-3.065310867,0.002174439
LINC01783,3.053632421,-1.917389801,0.626009448,-3.062876776,0.002192203
DBET,26.15716845,-1.787293045,0.58504107,-3.054987311,0.0022507
AC138207.5,15.26040302,0.78139133,0.256066357,3.051518907,0.002276867
MFAP1,22.03521755,0.627784627,0.205827503,3.050052198,0.002288016
LINC02236,6.698834281,1.089920253,0.3575415,3.048374114,0.002300833
DUSP11,4.182691819,2.003166759,0.657790891,3.045294159,0.002324528
AC099560.1,2.184537168,2.261819761,0.743631284,3.041587691,0.00235334
OR2I1P,28.8964774,-1.163621482,0.385113251,-3.021504656,0.002515218
SNX1,51.02991304,-1.447301267,0.479625982,-3.017562266,0.002548167
AC109925.1,2.572758327,-1.788860496,0.594225678,-3.010405916,0.002608988
SLC35E3,228.1414016,0.286757124,0.095258382,3.010308586,0.002609824
SRRM3,3.040075145,-2.53834721,0.843411011,-3.009620667,0.002615742
AC093249.4,11.51439122,-0.914661687,0.304178527,-3.006989666,0.002638487
RNY3P13,12.53431503,-0.870006805,0.289480437,-3.005407941,0.002652249
AC100767.2,4.31820396,1.68728329,0.56193154,3.002649202,0.002676407
GTF2IP13,8.300847432,-3.501491987,1.168569214,-2.996392464,0.002731946
DYRK2,33.22928949,-1.349249415,0.450465647,-2.995232649,0.002742356
ZNF362,3.773584052,-2.623154727,0.877022545,-2.990977532,0.00278086
MCCC2,21.35098915,0.597256912,0.199814966,2.989049937,0.002798464
AL589935.2,8.564305006,0.939808347,0.314964861,2.983851422,0.00284645
SFRP4,10.08822751,0.785541201,0.263321071,2.983206768,0.002852452
AL035685.1,73.42166799,0.740109861,0.248203789,2.981863673,0.002864995
AL023581.1,8.510624458,1.018207199,0.341595985,2.980735265,0.002875573
ACOX3,1.980407874,-2.227523076,0.748262489,-2.976927361,0.00291153
AC090409.2,15.98995365,1.635900524,0.549710986,2.975928379,0.002921031
FAH,6.620722168,2.373337874,0.798778526,2.971208912,0.002966299
AC092802.2,94.82498241,-0.854241757,0.287852993,-2.967632008,0.003001034
KARS1P3,2.558925434,1.652132446,0.558238262,2.95954713,0.003080916
TBCAP1,7.779791674,-1.157693894,0.391266609,-2.958836425,0.00308803
ALDH3A2,50.4040261,0.479906422,0.163150019,2.941503926,0.003266227
ASTE1,75.2981317,0.562316948,0.191416463,2.937662416,0.003306969
CERS6-AS1,241.2514257,0.371135424,0.126499262,2.933893978,0.003347385
DIO2-AS1,21.62410973,1.197218552,0.408157895,2.933224047,0.003354617
RLIMP1,179.6273913,-0.508720567,0.173448609,-2.932975775,0.003357301
USP29,2.956736079,-1.303398661,0.444717788,-2.930844452,0.00338042
LINC02109,15.26478335,0.821211889,0.28043362,2.928364607,0.003407502
PSME3IP1,1.826855795,-1.940508312,0.662686567,-2.928244525,0.003408818
BMS1P17,21.5576635,0.99538967,0.339956378,2.927992339,0.003411585
USP32P1,21.88103477,0.969838436,0.331373828,2.926720077,0.00342557
AP001528.1,6.385007395,1.737350779,0.594499984,2.922373129,0.003473751
AC026329.1,51.04767179,0.44486708,0.152377363,2.919508981,0.003505833
TMEM33,21.7758345,-0.811050658,0.278745204,-2.909648836,0.003618351
AC130304.1,114.6645802,-0.379614253,0.130876828,-2.900545944,0.003725132
BRDT,3.820297875,-1.252360635,0.431813989,-2.900231738,0.003728869
AC087521.2,110.8666915,0.421224446,0.145558962,2.893840681,0.003805612
