"","ROW_NAMES","Halo_ARID4A_REPLICATE_dS_AVG","Halo_ARID4B_REPLICATE_dS_AVG","Halo_BRMS1_REPLICATE_dS_AVG","Halo_BRMS1L_REPLICATE_dS_AVG","Halo_GATAD1_REPLICATE_dS_AVG","HDAC1.Halo_REPLICATE_dS_AVG","HDAC2_Halo_REPLICATE_dS_AVG","Halo_ING1_REPLICATE_dS_AVG","Halo_ING2_REPLICATE_dS_AVG","MORF4L1_Halo_REPLICATE_dS_AVG","Halo_PHF12_REPLICATE_dS_AVG","Halo_RBBP4_REPLICATE_dS_AVG","Halo_SAP30_REPLICATE_dS_AVG","Halo_SAP30L_REPLICATE_dS_AVG","Halo_SAP130_REPLICATE_dS_AVG","SIN3A_Halo_REPLICATE_dS_AVG","SIN3B_2_Halo_REPLICATE_dS_AVG","Halo_SUDS3_REPLICATE_dS_AVG"
"55","CHD5",0,-0.3143177,-0.4777692,0,-1.219347,33.64284,237.272,-1.114255,0,-0.9006071,0,1.400638,-0.8124331,-0.9147244,-0.8667176,0,0,-0.9786601
"56","RCOR1",-0.7326456,0,0,0,0,787.7487,872.2151,0,-1.856009,0,0,-2.948915,-1.265093,0,0,0,0,0
"57","KDM1A",-1.443251,-2.682633,-2.425742,0,0,1621.924,1402.482,0,0,0,0,-3.352239,0,-1.655995,-3.760591,0,0,-5.287082
"58","C16orf87",0,0,0,0,0,126.3674,141.1192,0,0,0,0,0,0,0,0,0,0,0
"59","MIER1",-0.9059482,-0.5345206,0,0,0,927.3481,517.7219,-0.6793581,0,0,0,-0.6752599,0,0,0,-0.7076412,0,-0.6341598
"60","DNTTIP1",0,0,0,0,0,275.3313,87.34208,0,0,0,0,0,0,0,0,0,0,0
"61","WDR5",0,0,0,-1.044934,0,191.5742,105.1411,0,0,0,0,0,0,0,0,0,-1.866234,0
"62","ZMYM2",0,0,0,0,0,383.4843,306.0777,0,0,0,0,0,0,0,0,0,0,0
"63","GSE1",0,0,0,0,0,274.181,268.4239,0,0,0,0,0,0,0,0,0,0,-0.7204478
"64","MIER3",0,0,0,0,0,109.9217,181.5695,0,0,0,0,0,0,0,0,0,0,0
"65","MIDEAS",0,0,0,0,0,314.2536,171.7749,0,0,0,0,0,0,0,0,0,0,0
"66","ZMYM3",0,0,0,0,0,232.29,341.7338,0,0,0,0,0,0,0,0,0,0,0
"67","CTBP1",0,0,0,-0.9865624,0,205.129,50.34801,0,0,0,0,0,0,0,-1.279373,0,0,-0.951897
"68","HMG20A",0,0,0,0,0,83.50679,66.77368,0,0,0,0,-0.9073132,0,0,0,0,0,0
"69","RERE",0,0,0,0,0,299.5857,286.5873,0,0,0,0,0,0,0,0,0,0,0
"70","RCOR3",-0.4770202,0,0,0,0,141.9459,72.93406,0,0,0,0,0,0,0,0,0,0,0
"71","CDYL",0,0,0,0,0,100.6269,97.42696,0,0,0,0,0,0,0,0,0,0,0
"72","GSE1",0,0,0,0,0,98.33454,164.8841,0,0,0,0,0,0,0,0,0,0,-0.5971714
"73","ZNF516",0,0,0,0,0,250.3075,121.9732,0,0,0,0,0,0,0,0,0,0,0
"74","MIER2",0,0,0,0,0,96.03281,67.38717,0,0,0,0,0,0,0,0,0,0,0
"75","BCL11A",0,0,0,0,0,108.2077,100.1436,0,0,0,0,-1.954881,0,0,0,0,0,0
"76","ZNF217",0,0,0,0,0,157.4158,102.9209,0,0,0,0,0,0,0,0,0,0,0
"77","RREB1",0,0,0,0,0,239.4446,118.8088,0,0,0,0,0,0,0,0,0,0,0
"78","RCOR2",0,0,0,0,0,69.43271,48.01904,0,0,0,0,0,0,0,0,0,0,0
"79","PHF21A",0,0,0,0,0,73.40631,65.88661,0,0,0,0,0,0,0,0,0,0,0
"80","RCOR3",-0.3919227,0,0,0,0,66.001,42.25477,0,0,0,0,0,0,0,0,0,0,0
